time,open,high,low,close,tick_volume,spread,real_volume
2023-07-31 04:54:00,11004.315,11004.315,11003.672,11003.672,59,1100,0
2023-07-31 04:55:00,11003.662,11003.662,11002.95,11002.95,60,1100,0
2023-07-31 04:56:00,11002.941,11002.941,11002.272,11002.272,59,1100,0
2023-07-31 04:57:00,11002.261,11002.261,11001.593,11001.593,60,1100,0
2023-07-31 04:58:00,11001.586,11001.586,11000.804,11000.804,60,1100,0
2023-07-31 04:59:00,11000.791,11000.791,11000.181,11000.181,59,1100,0
2023-07-31 05:00:00,11000.158,11000.158,10999.625,10999.625,56,1100,0
2023-07-31 05:01:00,10999.618,10999.618,10998.851,10998.851,60,1100,0
2023-07-31 05:02:00,10998.84,10998.84,10998.223,10998.223,60,1090,0
2023-07-31 05:03:00,10998.206,10998.206,10997.498,10997.498,58,1090,0
2023-07-31 05:04:00,10997.489,10997.489,10996.801,10996.801,56,1090,0
2023-07-31 05:05:00,10996.784,10996.784,10996.148,10996.148,58,1090,0
2023-07-31 05:06:00,10996.144,10996.144,10995.517,10995.517,58,1090,0
2023-07-31 05:07:00,10995.505,10995.505,10994.814,10994.814,57,1090,0
2023-07-31 05:08:00,10994.809,10994.809,10994.2,10994.2,59,1090,0
2023-07-31 05:09:00,10994.177,10994.177,10993.499,10993.499,56,1090,0
2023-07-31 05:10:00,10993.479,10993.479,10992.835,10992.835,56,1090,0
2023-07-31 05:11:00,10992.82,10992.82,10992.164,10992.164,58,1090,0
2023-07-31 05:12:00,10992.159,10992.159,10991.409,10991.409,59,1090,0
2023-07-31 05:13:00,10991.404,10991.404,10990.744,10990.744,58,1090,0
2023-07-31 05:14:00,10990.734,10990.734,10990.055,10990.055,59,1090,0
2023-07-31 05:15:00,10990.048,10990.048,10989.262,10989.262,58,1090,0
2023-07-31 05:16:00,10989.244,10989.244,10988.567,10988.567,58,1090,0
2023-07-31 05:17:00,10988.558,10988.558,10987.927,10987.927,60,1090,0
2023-07-31 05:18:00,10987.913,10987.913,10987.253,10987.253,60,1090,0
2023-07-31 05:19:00,10987.239,10987.239,10986.63,10986.63,59,1090,0
2023-07-31 05:20:00,10986.627,10986.627,10985.975,10985.975,60,1090,0
2023-07-31 05:21:00,10985.968,10985.968,10985.386,10985.386,57,1090,0
2023-07-31 05:22:00,10985.37,10985.37,10984.794,10984.794,56,1090,0
2023-07-31 05:23:00,10984.79,10984.79,10984.114,10984.114,57,1090,0
2023-07-31 05:24:00,10984.088,10984.088,10983.508,10983.508,57,1090,0
2023-07-31 05:25:00,10983.503,10983.503,10982.882,10982.882,59,1090,0
2023-07-31 05:26:00,10982.875,10982.875,10982.215,10982.215,56,1090,0
2023-07-31 05:27:00,10982.204,10982.204,10981.573,10981.573,59,1090,0
2023-07-31 05:28:00,10981.571,10981.571,10981.014,10981.014,60,1090,0
2023-07-31 05:29:00,10981.012,10981.012,10980.394,10980.394,58,1090,0
2023-07-31 05:30:00,10980.381,10980.381,10979.837,10979.837,60,1090,0
